neighborhood,totalperneigh,year
Shadyside,12,2021
Greenfield,13,2021
East Allegheny,13,2021
Knoxville,14,2021
Bluff,16,2021
Central Business District,17,2021
South Side Flats,17,2021
Homewood South,22,2021
Carrick,23,2021
Squirrel Hill South,24,2021
